observed,year,month,day,place,lat,lng
2016-05-30,2016,5,30,"Kent County, TX, USA",33.395915131,-100.6839835085
2016-05-30,2016,5,30,"Garza County, TX, USA",33.050083248,-101.4053344447
2016-05-30,2016,5,30,"Garza County, TX, USA",33.0133876448,-101.4012538273
2016-05-30,2016,5,30,"Borden County, TX, USA",32.6838094452,-101.4621987799
2016-05-30,2016,5,30,"Hardeman County, TX, USA",34.2868640529,-99.8509357126
2016-05-30,2016,5,30,"Borden County, TX, USA",32.6281147204,-101.4591453239
2016-05-30,2016,5,30,"Glasscock County, TX, USA",32.0822810949,-101.6600128728
2016-05-30,2016,5,30,"Mitchell County, TX, USA",32.1651932906,-101.0551157315
2016-05-29,2016,5,29,"Stonewall County, TX, USA",33.1603901097,-100.2347718552
2016-05-30,2016,5,30,"Kent County, TX, USA",33.1334882833,-100.7973390259
2016-05-29,2016,5,29,"Hockley County, TX, USA",33.7860873799,-102.4064176716
2015-08-10,2015,8,10,"Hall County, TX, USA",34.5315526015,-100.9288131913
2015-06-04,2015,6,4,"Terry County, TX, USA",33.1811757691,-102.1706600348
2002-04-16,2002,4,16,"Kenedy County, TX, USA",26.85,-97.917
2017-11-01,2017,11,1,"Texas, US",30.4950476556,-104.4814189618
2017-10-30,2017,10,30,"RM 505, Valentine, TX, US",30.5366533333,-104.34407
2017-10-10,2017,10,10,"Starr County, TX, USA",26.6931063958,-98.72226879
2017-10-06,2017,10,6,"Pecos County, US-TX, US",30.8367943786,-102.2484501717
2017-09-29,2017,9,29,"Pinto Canyon Rd, Marfa, TX, US",30.0952278333,-104.4357616667
2017-09-23,2017,9,23,"Stonewall County, TX, USA",33.0451018108,-100.5073231459
2017-06-22,2017,6,22,"Texas, US",34.1526896533,-99.2082132428
2017-09-16,2017,9,16,"551 Co Rd 168, Lueders, TX 79533, USA",32.8523580511,-99.576173164
2017-09-08,2017,9,8,"Starr County, TX, USA",26.5417266947,-99.102717339
2017-09-03,2017,9,3,"Stonewall County, TX, USA",33.16265,-100.0089805556
2017-08-31,2017,8,31,"869–959 RM 2400, Dryden, TX, US",30.390845,-102.218405
2017-08-01,2017,8,1,"Texas, US",26.7567753205,-99.1744954572
2017-08-14,2017,8,14,"Marathon, TX 79842 USA",30.3156476392,-103.1191486493
2017-06-17,2017,6,17,"Texas, US",33.8510164331,-99.0475181356
2017-08-12,2017,8,12,"Main St, Fort Davis, TX, US",30.5884883333,-103.8861616667
2017-08-09,2017,8,9,"1439–1529 RM 2400, Dryden, TX, US",30.431425,-102.1384195
2017-08-02,2017,8,2,"Stonewall County, TX, USA",33.048153406,-100.507374107
2017-07-29,2017,7,29,"Stonewall County, TX, USA",33.0517071834,-100.5159008503
2017-07-29,2017,7,29,"Stonewall County, TX, USA",33.0513638646,-100.516498982
2017-07-25,2017,7,25,"County Road 2150, Stanton, TX, US",32.1250458268,-101.8381742065
2017-07-25,2017,7,25,"1031-1033 Santa Fe Trail Canyon, TX 79015",34.9705082496,-101.9435143098
2017-07-14,2017,7,14,"Brackettville, TX 78832",29.3751497513,-100.501796932
2017-07-12,2017,7,12,"Sheffield, TX 79781",30.4887532824,-101.7880816385
2017-06-30,2017,6,30,"Val Verde County, US-TX, US",30.0513392785,-101.6832690356
2017-06-26,2017,6,26,"Seminole Canyon State Park, Comstock, TX, US",29.7004616667,-101.3132333333
2017-07-01,2017,7,1,"Kent County, TX, USA",33.0476789543,-100.5294942856
2017-07-01,2017,7,1,"Kent County, TX, USA",33.0665751929,-100.5343866348
2017-07-01,2017,7,1,"Kent County, TX, USA",33.093280108,-100.53378582
2017-07-01,2017,7,1,"Kent County, TX, USA",33.096734206,-100.5337965488
2017-07-01,2017,7,1,"Scurry County, TX, USA",32.9644259801,-100.9733998775
2017-07-01,2017,7,1,"Kent County, TX, USA",33.0471521373,-100.9592485428
2017-07-01,2017,7,1,"Kent County, TX, USA",33.0607899081,-100.5301380157
2017-06-30,2017,6,30,"78837, Comstock, TX, US",30.050975,-101.7180466667
2017-07-02,2017,7,2,"Texas, US",30.8674906143,-101.1702809296
2017-07-02,2017,7,2,"Texas, US",30.8823393742,-101.0396566645
2017-06-29,2017,6,29,"Taylor, Texas, United States",32.2577888889,-99.9757777778
2017-06-24,2017,6,24,"100–200 N 12th St, Carrizo Springs, TX, US",28.5240222281,-99.8659673265
2017-06-28,2017,6,28,"US-385 S, Marathon, TX, US",30.2418833333,-103.2073133333
2017-06-27,2017,6,27,"Scurry County, TX, USA",32.6961242445,-100.6725311279
2017-06-27,2017,6,27,"Kent County, TX, USA",33.0503791763,-100.7404232025
2017-06-27,2017,6,27,"Kent County, TX, USA",33.0239827423,-100.7063484192
2017-06-26,2017,6,26,"Kent County, TX, USA",33.0425347545,-100.5222845078
2009-06-16,2009,6,16,"Texas, US",29.8013424594,-103.6927821132
2017-06-25,2017,6,25,"1560–1648 FM 1217, Dryden, TX, US",30.2488633333,-102.0187833333
2017-06-23,2017,6,23,"Longfellow Rd, Fort Stockton, TX, US",30.21932,-102.68553
2017-06-23,2017,6,23,"Pecos County, US-TX, US",30.219355,-102.6855166667
2017-06-23,2017,6,23,"Pecos County, US-TX, US",30.219314606,-102.6854956337
2017-06-24,2017,6,24,"Brewster County, US-TX, US",30.2020883333,-102.9386533333
2017-06-22,2017,6,22,"Texas, US",30.4701193798,-104.3509001042
2017-06-23,2017,6,23,"TX-290, Sheffield, TX, US",30.6906567654,-101.8188805227
2017-06-23,2017,6,23,"TX-290, Sheffield, TX, US",30.6897910824,-101.8156147656
2017-06-23,2017,6,23,"US-385 S, Marathon, TX, US",30.2530116667,-103.1999883333
2017-06-21,2017,6,21,"76943, Ozona, TX, US",30.930319569,-101.1771667888
2017-06-22,2017,6,22,"RM 505, Valentine, TX, US",30.521975,-104.400695
2017-06-22,2017,6,22,"Texas, US",30.8344529968,-101.1646548988
2017-06-21,2017,6,21,"County Road 109, Eldorado, TX, US",30.8249402186,-100.7395443601
2017-06-20,2017,6,20,"79731, Crane, TX, US",31.230295,-102.3166666667
2017-06-19,2017,6,19,"Cottle County, TX, USA",34.1337195215,-100.4690694809
2017-06-18,2017,6,18,"State Highway 163, Sterling City, TX, US",31.727695,-101.0394055
2017-06-16,2017,6,16,"76943, Ozona, TX, US",30.9211416667,-101.185355
2017-06-15,2017,6,15,"Fisher County, TX, USA",32.8959249796,-100.3258180618
2017-06-15,2017,6,15,"Fisher County, TX, USA",32.913880999,-100.343542099
2017-06-12,2017,6,12,"Schleicher County, US-TX, US",30.8876126726,-100.7175384277
2017-06-10,2017,6,10,"Haskell County, TX, USA",33.0085972222,-99.8481444444
2017-06-10,2017,6,10,"US-90 E, Fort Stockton, TX, US",30.157984,-102.627309
2017-06-08,2017,6,8,"Dump Ground Road Crane, TX 79731",31.43908116,-102.37914298
2017-06-08,2017,6,8,"Texas, US",32.7351697403,-102.3485139099
2017-06-08,2017,6,8,"Texas, US",30.9102345855,-101.1917564155
2017-06-07,2017,6,7,"3100-3108 Colgate Street Lubbock, TX 79415",33.6021851183,-101.882753223
2017-06-06,2017,6,6,"Presidio County, US-TX, US",30.217447069,-104.1591714367
2017-06-04,2017,6,4,"Texas, US",30.0805471307,-102.3781443634
2017-06-04,2017,6,4,"Terrell County, US-TX, US",30.0937755918,-102.1930413582
2017-06-06,2017,6,6,"Stonewall County, TX, USA",33.1055754263,-100.3399801254
2017-06-06,2017,6,6,"Stonewall County, TX, USA",33.1085718793,-100.5157613754
2017-06-06,2017,6,6,"Kent County, TX, USA",33.0613833613,-100.7651853561
2017-06-05,2017,6,5,"Kent County, TX, USA",33.0077533465,-100.5883312225
2017-06-05,2017,6,5,"Kent County, TX, USA",33.0961204072,-100.5336356163
2017-06-04,2017,6,4,"Kent County, TX, USA",33.0979296127,-100.5336248875
2017-05-26,2017,5,26,"County Road 203, Ozona, TX, US",30.804475,-101.0968388333
2017-06-05,2017,6,5,"County Road 299, Floydada, TX, US",33.8629083333,-101.086625
2017-05-29,2017,5,29,"76943, Ozona, TX, US",30.934212171,-101.1946883937
2017-06-02,2017,6,2,"506 W Alamo St, Carrizo Springs, TX, US",28.5237348611,-99.8604735686
2017-06-01,2017,6,1,"Kenedy County, TX, USA",26.7542816667,-97.602445
2017-06-03,2017,6,3,"Sutton County, US-TX, US",30.403339332,-100.9560879787
2017-04-28,2017,4,28, Dos Haches,27.00094,-98.276636
2017-06-01,2017,6,1,"76943, Ozona, TX, US",30.9974378581,-101.0940516741
2017-05-31,2017,5,31,"Texas, US",32.6295160844,-102.3352454666
2017-05-30,2017,5,30,"188–204 FM 889, George West, TX, US",28.248733,-98.260461
2017-05-25,2017,5,25,Jim Hogg County TX,26.9113292694,-98.9106674194
2017-05-26,2017,5,26,"County Road 203, Ozona, TX, US",30.8034883333,-101.0915971667
2017-05-26,2017,5,26,"County Road 203, Ozona, TX, US",30.821255,-101.1087638333
2017-05-26,2017,5,26,"Texas, US",30.9561844799,-101.0967478566
2017-05-26,2017,5,26,"Texas, US",30.9623663225,-101.031678614
2017-05-25,2017,5,25,"Texas, US",30.8111085988,-101.1411044854
2017-05-25,2017,5,25,"76943, Ozona, TX, US",31.0170916667,-101.0091166667
2017-05-25,2017,5,25,"76943, Ozona, TX, US",30.9970283333,-101.0577916667
2017-05-25,2017,5,25,"County Road 203, Ozona, TX, US",30.82123,-101.1087888333
2017-05-25,2017,5,25,"County Road 203, Ozona, TX, US",30.819445,-101.10785
2017-05-24,2017,5,24,"County Road 203, Ozona, TX, US",30.8092633333,-101.1028445
2017-05-24,2017,5,24,"76943, Ozona, TX, US",30.7967366667,-101.0670166667
2017-05-27,2017,5,27,"Texas, US",30.9931619594,-101.0040476323
2017-05-26,2017,5,26,"76930, Barnhart, TX, US",31.273975,-101.2432633333
2017-05-24,2017,5,24,"Stonewall County, TX, USA",33.0571527358,-100.5050110817
